 TIME                                   ,TotElec_30                              ,P_surplus1                              ,P_short1                                ,label                                   ,active_load_kW,P_from_grid_kW,P_to_grid_kW,PF,apparent_power,reactive_power
5.00E-01,7.13E+05,0.00E+00,7.13E+05,0.00E+00,198.1377,198.0889,0,0.9,220.1529991,95.96246752
1.00E+00,6.50E+05,0.00E+00,6.50E+05,0.00E+00,180.658,180.5251,0,0.9,200.7311591,87.49668372
1.50E+00,6.24E+05,0.00E+00,6.23E+05,0.00E+00,173.3444,173.182,0,0.9,192.6048387,83.95450278
2.00E+00,5.51E+05,0.00E+00,5.51E+05,0.00E+00,153.1395,153.0148,0,0.9,170.1549974,74.16884382
2.50E+00,4.07E+05,0.00E+00,4.07E+05,0.00E+00,113.1341,113.0395,0,0.9,125.7045502,54.79334311
3.00E+00,3.02E+05,0.00E+00,3.02E+05,0.00E+00,83.9326,83.8595,0,0.9,93.25841365,40.65040007
3.50E+00,2.87E+05,0.00E+00,2.87E+05,0.00E+00,79.7959,79.7202,0,0.9,88.66214097,38.64693126
4.00E+00,2.65E+05,0.00E+00,2.64E+05,0.00E+00,73.5529,73.447,0,0.9,81.725484,35.62331259
4.50E+00,2.56E+05,0.00E+00,2.56E+05,0.00E+00,71.1606,71.0433,0,0.9,79.06731239,34.46464244
5.00E+00,2.26E+05,0.00E+00,2.26E+05,0.00E+00,62.7665,62.6567,0,0.9,69.74053138,30.39919285
5.50E+00,2.76E+05,0.00E+00,2.76E+05,0.00E+00,76.7581,76.6369,0,0.9,85.28674573,37.17563058
6.00E+00,2.38E+05,0.00E+00,2.37E+05,0.00E+00,66.1069,65.9556,0,0.9,73.45213106,32.01704165
6.50E+00,2.41E+05,0.00E+00,2.40E+05,0.00E+00,66.8715,66.7202,0,0.9,74.30165988,32.38734268
7.00E+00,2.28E+05,0.00E+00,2.28E+05,0.00E+00,63.4332,63.3121,0,0.9,70.48138222,30.72212225
7.50E+00,1.01E+05,0.00E+00,1.01E+05,0.00E+00,28.1542,27.9455,0,0.9,31.28246293,13.63570946
8.00E+00,1.09E+05,0.00E+00,1.05E+05,0.00E+00,30.3101,29.0918,0,0.9,33.67786346,14.67984034
8.50E+00,2.11E+05,0.00E+00,1.81E+05,0.00E+00,58.7391,50.1978,0,0.9,65.26565714,28.44864039
9.00E+00,2.11E+05,0.00E+00,1.38E+05,0.00E+00,58.5836,38.4226,0,0.9,65.09290725,28.37334046
9.50E+00,3.45E+05,0.00E+00,2.37E+05,0.00E+00,95.9385,65.8523,0,0.9,106.5983088,46.46512554
1.00E+01,3.47E+05,0.00E+00,2.00E+05,0.00E+00,96.4857,55.6745,0,0.9,107.206344,46.73016196
1.05E+01,4.40E+05,0.00E+00,2.58E+05,0.00E+00,122.097,71.5865,0,0.9,135.6633328,59.13427579
1.10E+01,4.46E+05,0.00E+00,2.24E+05,0.00E+00,123.9162,62.2522,0,0.9,137.6846142,60.01533194
1.15E+01,4.52E+05,0.00E+00,1.68E+05,0.00E+00,125.4457,46.6201,0,0.9,139.3840872,60.75611504
1.20E+01,4.58E+05,0.00E+00,1.50E+05,0.00E+00,127.2119,41.6617,0,0.9,141.3465428,61.61152962
1.25E+01,4.63E+05,0.00E+00,1.73E+05,0.00E+00,128.5273,47.9189,0,0.9,142.8081641,62.24863558
1.30E+01,4.68E+05,0.00E+00,1.75E+05,0.00E+00,129.9078,48.5502,0,0.9,144.3420255,62.91723024
1.35E+01,4.72E+05,0.00E+00,1.62E+05,0.00E+00,131.1474,44.8858,0,0.9,145.7192917,63.51756665
1.40E+01,4.77E+05,0.00E+00,1.75E+05,0.00E+00,132.6272,48.4901,0,0.9,147.3635051,64.23426269
1.45E+01,4.81E+05,0.00E+00,2.09E+05,0.00E+00,133.5627,58.0518,0,0.9,148.4030048,64.68737009
1.50E+01,4.85E+05,0.00E+00,2.40E+05,0.00E+00,134.6291,66.5898,0,0.9,149.5878831,65.20384655
1.55E+01,4.88E+05,0.00E+00,2.62E+05,0.00E+00,135.4974,72.8134,0,0.9,150.552658,65.62438219
1.60E+01,4.91E+05,0.00E+00,3.06E+05,0.00E+00,136.2946,85.0533,0,0.9,151.4384124,66.01047358
