 TIME                                   ,TotElec_30                              ,P_from_grid                             ,P_to_grid                               ,label                                   ,active_load_kW,P_from_grid_kW,P_to_grid_kW,PF,apparent_power,reactive_power
5.00E-01,7.07E+05,7.07E+05,0.00E+00,0.00E+00,196.5223,196.5223,0,0.9,218.3581518,95.18011173
1.00E+00,3.95E+05,3.95E+05,0.00E+00,0.00E+00,109.5995,109.5995,0,0.9,121.7771674,53.08143663
1.50E+00,3.52E+05,3.52E+05,0.00E+00,0.00E+00,97.6967,97.6967,0,0.9,108.5519025,47.31667729
2.00E+00,2.39E+05,2.39E+05,0.00E+00,0.00E+00,66.2946,66.2946,0,0.9,73.66069214,32.10795132
2.50E+00,1.57E+05,1.57E+05,0.00E+00,0.00E+00,43.6043,43.6043,0,0.9,48.44925201,21.11853934
3.00E+00,1.29E+05,1.29E+05,0.00E+00,0.00E+00,35.8671,35.8671,0,0.9,39.8523518,17.37123742
3.50E+00,1.22E+05,1.22E+05,0.00E+00,0.00E+00,33.8761,33.8761,0,0.9,37.64009949,16.40693899
4.00E+00,1.22E+05,1.22E+05,0.00E+00,0.00E+00,33.8761,33.8761,0,0.9,37.64012796,16.4069514
4.50E+00,1.22E+05,1.22E+05,0.00E+00,0.00E+00,33.8761,33.8761,0,0.9,37.64015761,16.40696432
5.00E+00,1.22E+05,1.22E+05,0.00E+00,0.00E+00,33.8762,33.8762,0,0.9,37.64018853,16.4069778
5.50E+00,9.29E+05,9.29E+05,0.00E+00,0.00E+00,258.0773,258.0773,0,0.9,286.7526059,124.9925631
6.00E+00,3.97E+05,3.97E+05,0.00E+00,0.00E+00,110.147,110.147,0,0.9,122.3855711,53.34663364
6.50E+00,7.60E+05,7.60E+05,0.00E+00,0.00E+00,211.0309,211.0309,0,0.9,234.4787757,102.2069288
7.00E+00,4.86E+05,4.86E+05,0.00E+00,0.00E+00,135.0086,135.0086,0,0.9,150.0096092,65.3876727
7.50E+00,9.37E+05,9.36E+05,0.00E+00,0.00E+00,260.315,259.8702,0,0.9,289.2389317,126.0763274
8.00E+00,9.37E+05,9.32E+05,0.00E+00,0.00E+00,260.339,258.9111,0,0.9,289.2655969,126.0879505
8.50E+00,1.09E+06,1.05E+06,0.00E+00,0.00E+00,302.3859,292.0793,0,0.9,335.9843233,146.4521712
9.00E+00,1.07E+06,9.88E+05,0.00E+00,0.00E+00,298.4416,274.3828,0,0.9,331.6017488,144.5418513
9.50E+00,1.10E+06,9.72E+05,0.00E+00,0.00E+00,305.5467,269.8618,0,0.9,339.4963688,147.9830363
1.00E+01,1.10E+06,9.31E+05,0.00E+00,0.00E+00,306.2,258.5684,0,0.9,340.2222244,148.2994295
1.05E+01,1.10E+06,8.92E+05,0.00E+00,0.00E+00,306.8106,247.769,0,0.9,340.9006276,148.5951385
1.10E+01,1.11E+06,8.45E+05,0.00E+00,0.00E+00,307.404,234.6557,0,0.9,341.5599738,148.8825409
1.15E+01,1.11E+06,7.71E+05,0.00E+00,0.00E+00,307.0319,214.0281,0,0.9,341.1465755,148.7023448
