 TIME                                   ,TotElec_30                              ,P_from_grid                             ,P_to_grid                               ,label                                   ,active_load_kW,P_from_grid_kW,P_to_grid_kW,PF,apparent_power,reactive_power
5.00E-01,7.07E+05,7.07E+05,0.00E+00,0.00E+00,196.5223,196.4827,0,0.9,218.3581518,95.18011173
1.00E+00,3.95E+05,3.94E+05,0.00E+00,0.00E+00,109.5995,109.4927,0,0.9,121.7771674,53.08143663
1.50E+00,3.52E+05,3.51E+05,0.00E+00,0.00E+00,97.6967,97.5673,0,0.9,108.5519025,47.31667729
2.00E+00,2.39E+05,2.38E+05,0.00E+00,0.00E+00,66.2946,66.1943,0,0.9,73.66069214,32.10795132
2.50E+00,1.57E+05,1.57E+05,0.00E+00,0.00E+00,43.6043,43.5274,0,0.9,48.44925201,21.11853934
3.00E+00,1.29E+05,1.29E+05,0.00E+00,0.00E+00,35.8671,35.8077,0,0.9,39.8523518,17.37123742
3.50E+00,1.22E+05,1.22E+05,0.00E+00,0.00E+00,33.8761,33.8137,0,0.9,37.64009949,16.40693899
4.00E+00,1.22E+05,1.22E+05,0.00E+00,0.00E+00,33.8761,33.7903,0,0.9,37.64012796,16.4069514
4.50E+00,1.22E+05,1.22E+05,0.00E+00,0.00E+00,33.8761,33.7816,0,0.9,37.64015761,16.40696432
5.00E+00,1.22E+05,1.22E+05,0.00E+00,0.00E+00,33.8762,33.7874,0,0.9,37.64018853,16.4069778
5.50E+00,9.29E+05,9.29E+05,0.00E+00,0.00E+00,258.0773,257.9798,0,0.9,286.7526059,124.9925631
6.00E+00,3.97E+05,3.96E+05,0.00E+00,0.00E+00,110.147,110.0261,0,0.9,122.3855711,53.34663364
6.50E+00,7.60E+05,7.59E+05,0.00E+00,0.00E+00,211.0309,210.91,0,0.9,234.4787757,102.2069288
7.00E+00,4.86E+05,4.86E+05,0.00E+00,0.00E+00,135.0086,134.9111,0,0.9,150.0096092,65.3876727
7.50E+00,9.37E+05,9.35E+05,0.00E+00,0.00E+00,260.315,259.7639,0,0.9,289.2389317,126.0763274
8.00E+00,9.37E+05,9.31E+05,0.00E+00,0.00E+00,260.339,258.7353,0,0.9,289.2655969,126.0879505
8.50E+00,1.09E+06,1.05E+06,0.00E+00,0.00E+00,302.3859,291.8694,0,0.9,335.9843233,146.4521712
9.00E+00,1.07E+06,9.87E+05,0.00E+00,0.00E+00,298.4416,274.2592,0,0.9,331.6017488,144.5418513
9.50E+00,1.10E+06,9.71E+05,0.00E+00,0.00E+00,305.5467,269.6184,0,0.9,339.4963688,147.9830363
1.00E+01,1.10E+06,9.28E+05,0.00E+00,0.00E+00,306.2,257.7477,0,0.9,340.2222244,148.2994295
1.05E+01,1.10E+06,8.88E+05,0.00E+00,0.00E+00,306.8106,246.7798,0,0.9,340.9006276,148.5951385
1.10E+01,1.11E+06,8.42E+05,0.00E+00,0.00E+00,307.404,233.9052,0,0.9,341.5599738,148.8825409
1.15E+01,1.11E+06,7.68E+05,0.00E+00,0.00E+00,307.0319,213.3971,0,0.9,341.1465755,148.7023448
1.20E+01,1.10E+06,7.39E+05,0.00E+00,0.00E+00,306.5952,205.3187,0,0.9,340.6612858,148.4908119
1.25E+01,1.11E+06,7.60E+05,0.00E+00,0.00E+00,306.9457,211.1218,0,0.9,341.050801,148.6605976
1.30E+01,1.11E+06,7.58E+05,0.00E+00,0.00E+00,307.2093,210.5244,0,0.9,341.3437048,148.7882714
1.35E+01,1.11E+06,7.42E+05,0.00E+00,0.00E+00,308.4031,206.1337,0,0.9,342.6701269,149.3664454
1.40E+01,1.11E+06,7.55E+05,0.00E+00,0.00E+00,309.5917,209.8522,0,0.9,343.9908087,149.9421173
1.45E+01,1.12E+06,7.93E+05,0.00E+00,0.00E+00,309.8634,220.3135,0,0.9,344.2926216,150.0736745
1.50E+01,1.12E+06,8.24E+05,0.00E+00,0.00E+00,309.909,228.9691,0,0.9,344.3433434,150.0957836
1.55E+01,1.10E+06,8.36E+05,0.00E+00,0.00E+00,306.8476,232.137,0,0.9,340.9418032,148.6130866
