 TIME                                   ,P_surplus1                              ,P_short1                                ,TotElec_30                              ,Wind                                    ,active_load_kW,P_from_grid_kW,P_to_grid_kW,PF,apparent_power,reactive_power
5.00E-01,0.00E+00,7.61E+04,7.62E+04,1.23E+00,21.1683,21.1381,0,0.9,23.52038054,10.25229619
1.00E+00,0.00E+00,4.39E+04,4.42E+04,1.88E+00,12.2897,12.2043,0,0.9,13.65519181,5.952160115
1.50E+00,0.00E+00,4.07E+04,4.11E+04,2.08E+00,11.4166,11.3107,0,0.9,12.68515069,5.529328995
2.00E+00,0.00E+00,3.43E+04,3.46E+04,1.83E+00,9.6197,9.5401,0,0.9,10.68852613,4.659020525
2.50E+00,0.00E+00,4.46E+04,4.48E+04,1.63E+00,12.4342,12.3757,0,0.9,13.81583,6.022180681
3.00E+00,0.00E+00,3.04E+04,3.06E+04,1.48E+00,8.4972,8.4499,0,0.9,9.441300354,4.115367414
3.50E+00,0.00E+00,3.61E+04,3.62E+04,1.50E+00,10.0649,10.0158,0,0.9,11.18319538,4.874641854
4.00E+00,0.00E+00,2.73E+04,2.76E+04,1.70E+00,7.6564,7.5899,0,0.9,8.507136689,3.708174913
4.50E+00,0.00E+00,3.49E+04,3.51E+04,1.78E+00,9.7586,9.6842,0,0.9,10.84290357,4.726312093
5.00E+00,0.00E+00,2.73E+04,2.75E+04,1.73E+00,7.6514,7.5823,0,0.9,8.50154612,3.70573804
5.50E+00,0.00E+00,2.99E+04,3.02E+04,1.80E+00,8.3906,8.3136,0,0.9,9.322928968,4.063770523
6.00E+00,0.00E+00,2.86E+04,2.89E+04,2.00E+00,8.0362,7.938,0,0.9,8.929069555,3.892091185
6.50E+00,0.00E+00,3.62E+04,3.65E+04,2.00E+00,10.1465,10.0483,0,0.9,11.2738343,4.914150443
7.00E+00,0.00E+00,3.63E+04,3.65E+04,1.80E+00,10.1468,10.0697,0,0.9,11.27416736,4.91429562
7.50E+00,0.00E+00,2.44E+04,2.49E+04,1.88E+00,6.9058,6.7763,0,0.9,7.67312037,3.344635628
