Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_201,Node_202,Node_203,Node_204,Node_205,Node_206,Node_207,Node_208,Node_209,Node_301,Node_302,Node_303,Node_304,Node_305,Node_306,Node_307,Node_308,Node_309,Node_310,Node_311,Node_312,Node_313,Node_314,Node_315,Node_316,Node_317,Node_318,Node_401,Node_402,Node_403,Node_404,Node_405,Node_406,Node_407
0,0,0,0,0,0,0,360,360,360,360,360,0,360,360,0,360,360,360,360,360,360,360,360,0,0,0,360,360,360,360,360,360,360,360,360,360,360,360,360
0,0,0,0,0,0,0,360,360,360,360,360,0,360,360,0,360,360,360,360,360,360,360,360,0,0,0,360,360,360,360,360,360,360,360,360,360,360,360,360
0,0,0,0,0,0,0,360,360,360,360,360,0,360,360,0,360,360,360,360,360,360,360,360,0,0,0,360,360,360,360,360,360,360,360,360,360,360,360,360
0,0,0,0,0,0,0,360,360,360,360,360,0,360,360,0,360,360,360,360,360,360,360,360,0,0,0,360,360,360,360,360,360,360,360,360,360,360,360,360
0,0,0,0,0,0,0,360,360,360,360,360,0,360,360,0,360,360,360,360,360,360,360,360,0,0,0,360,360,360,360,360,360,360,360,360,360,360,360,360
0,0,0,0,0,0,0,360,360,360,360,360,0,360,360,0,360,360,360,360,360,360,360,360,0,0,0,360,360,360,360,360,360,360,360,360,360,360,360,360
0,0,0,0,0,0,0,360,360,360,360,360,0,360,360,0,360,360,360,360,360,360,360,360,0,0,0,360,360,360,360,360,360,360,360,360,360,360,360,360
0,0,0,0,0,0,0,360,360,360,360,360,0,360,360,0,360,360,360,360,360,360,360,360,0,0,0,360,360,360,360,360,360,360,360,360,360,360,360,360
0,0,0,0,0,0,0,360,360,360,360,360,0,360,360,0,360,360,360,360,360,360,360,360,0,0,0,360,360,360,360,360,360,360,360,360,360,360,360,360
0,0,0,0,0,0,0,360,360,360,360,360,0,360,360,0,360,360,360,360,360,360,360,360,0,0,0,360,360,360,360,360,360,360,360,360,360,360,360,360
0,0,0,0,0,0,0,360,360,360,360,360,0,360,360,0,360,360,360,360,360,360,360,360,0,0,0,360,360,360,360,360,360,360,360,360,360,360,360,360
0,0,0,0,0,0,0,360,360,360,360,360,0,360,360,0,360,360,360,360,360,360,360,360,0,0,0,360,360,360,360,360,360,360,360,360,360,360,360,360
0,0,0,0,0,0,0,360,360,360,360,360,0,360,360,0,360,360,360,360,360,360,360,360,0,0,0,360,360,360,360,360,360,360,360,360,360,360,360,360
0,0,0,0,0,0,0,360,360,360,360,360,0,360,360,0,360,360,360,360,360,360,360,360,0,0,0,360,360,360,360,360,360,360,360,360,360,360,360,360
0,0,0,0,0,0,0,360,360,360,360,360,0,360,360,0,360,360,360,360,360,360,360,360,0,0,0,360,360,360,360,360,360,360,360,360,360,360,360,360
3,3,3,3,3,3,0,359,359,359,359,358,0,358,358,0,359,358,358,358,357,356,355,358,0,0,0,358,359,357,356,356,355,358,358,357,356,358,357,356
43,43,43,43,43,43,0,344,346,344,347,341,0,341,337,0,344,341,341,337,332,326,320,341,0,0,0,337,344,332,326,326,320,341,337,332,326,337,332,326
287,284,284,283,284,287,0,275,279,275,286,264,0,264,252,0,275,264,264,252,240,226,213,264,0,0,0,252,275,240,226,226,213,264,252,240,226,252,240,226
867,857,856,854,857,866,0,144,148,144,157,130,0,130,118,0,144,130,130,118,105,94,83,130,0,0,0,118,144,105,94,94,83,130,118,105,94,118,105,94
1396,1401,1411,1407,1414,1392,0,40,43,40,47,34,0,34,29,0,40,34,34,29,24,20,17,34,0,0,0,29,40,24,20,20,17,34,29,24,20,29,24,20
1619,1624,1636,1633,1637,1617,0,6,6,6,7,4,0,4,4,0,6,4,4,4,3,2,2,4,0,0,0,4,6,3,2,2,2,4,4,3,2,4,3,2
1659,1665,1677,1674,1677,1658,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,1668,1681,1678,1680,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,1668,1681,1678,1680,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,1668,1681,1678,1680,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,1668,1681,1678,1680,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,1668,1681,1678,1680,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,1668,1681,1678,1680,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,1668,1681,1678,1680,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,1668,1681,1678,1680,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,1668,1681,1678,1680,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,1668,1681,1678,1680,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,1668,1681,1678,1680,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1660,1666,1679,1676,1678,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1629,1634,1647,1644,1647,1628,0,4,4,4,5,3,0,3,2,0,4,3,3,2,2,1,1,3,0,0,0,2,4,2,1,1,1,3,2,2,1,2,2,1
1420,1425,1436,1433,1435,1420,0,36,37,35,42,31,0,29,24,0,36,31,31,38,34,16,13,30,0,0,0,25,36,20,16,32,23,29,24,19,16,24,19,16
877,880,886,885,886,876,0,137,141,138,150,125,0,125,112,0,136,124,124,123,112,87,76,123,0,0,0,111,136,99,87,102,87,125,111,99,88,111,99,88
306,307,309,309,309,306,0,269,272,271,277,258,0,259,247,0,266,255,255,256,244,219,205,255,0,0,0,245,266,232,219,233,216,259,247,234,221,247,234,221
54,54,54,54,54,54,0,340,341,342,340,337,0,338,334,0,336,333,333,341,336,319,313,332,0,0,0,331,336,325,319,332,323,338,333,328,322,333,328,322
5,5,5,5,5,5,0,360,363,361,353,359,0,360,360,0,351,350,350,358,355,337,333,351,0,0,0,352,351,359,375,350,343,361,363,362,361,363,362,361
