Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_201,Node_202,Node_203,Node_204,Node_205,Node_206,Node_207,Node_208,Node_209,Node_301,Node_302,Node_303,Node_304,Node_305,Node_306,Node_307,Node_308,Node_309,Node_310,Node_311,Node_312,Node_313,Node_314,Node_315,Node_316,Node_317,Node_318,Node_401,Node_402,Node_403,Node_404,Node_405,Node_406,Node_407
0,0,0,0,0,0,0,60,60,60,60,60,0,60,60,0,60,60,60,60,60,60,60,60,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60
0,0,0,0,0,0,0,60,60,60,60,60,0,60,60,0,60,60,60,60,60,60,60,60,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60
0,0,0,0,0,0,0,60,60,60,60,60,0,60,60,0,60,60,60,60,60,60,60,60,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60
0,0,0,0,0,0,0,60,60,60,60,60,0,60,60,0,60,60,60,60,60,60,60,60,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60
0,0,0,0,0,0,0,60,60,60,60,60,0,60,60,0,60,60,60,60,60,60,60,60,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60
0,0,0,0,0,0,0,60,60,60,60,60,0,60,60,0,60,60,60,60,60,60,60,60,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60
0,0,0,0,0,0,0,60,60,60,60,60,0,60,60,0,60,60,60,60,60,60,60,60,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60
0,0,0,0,0,0,0,60,60,60,60,60,0,60,60,0,60,60,60,60,60,60,60,60,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60
0,0,0,0,0,0,0,60,60,60,60,60,0,60,60,0,60,60,60,60,60,60,60,60,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60
0,0,0,0,0,0,0,60,60,60,60,60,0,60,60,0,60,60,60,60,60,60,60,60,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60
0,0,0,0,0,0,0,60,60,60,60,60,0,60,60,0,60,60,60,60,60,60,60,60,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60
0,0,0,0,0,0,0,60,60,60,60,60,0,60,60,0,60,60,60,60,60,60,60,60,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60
0,0,0,0,0,0,0,60,60,60,60,60,0,60,60,0,60,60,60,60,60,60,60,60,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60
0,0,0,0,0,0,0,60,60,60,60,60,0,60,60,0,60,60,60,60,60,60,60,60,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60
0,0,0,0,0,0,0,60,60,60,60,60,0,60,60,0,60,60,60,60,60,60,60,60,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60
0,0,0,0,0,0,0,60,60,60,60,60,0,60,60,0,60,60,60,60,60,59,59,60,0,0,0,60,60,60,59,59,59,60,60,60,59,60,60,59
7,7,7,7,7,7,0,57,58,57,58,57,0,57,56,0,57,57,57,56,55,54,53,57,0,0,0,56,57,55,54,54,53,57,56,55,54,56,55,54
48,47,47,47,47,48,0,46,47,46,48,44,0,44,42,0,46,44,44,42,40,38,35,44,0,0,0,42,46,40,38,38,35,44,42,40,38,42,40,38
144,143,143,142,143,144,0,24,25,24,26,22,0,22,20,0,24,22,22,20,18,16,14,22,0,0,0,20,24,18,16,16,14,22,20,18,16,20,18,16
233,233,235,235,236,232,0,7,7,7,8,6,0,6,5,0,7,6,6,5,4,3,3,6,0,0,0,5,7,4,3,3,3,6,5,4,3,5,4,3
270,271,273,272,273,270,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
276,277,280,279,279,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,278,280,280,280,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,278,280,280,280,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,278,280,280,280,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,278,280,280,280,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,278,280,280,280,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,278,280,280,280,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,278,280,280,280,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,278,280,280,280,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,278,280,280,280,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,278,280,280,280,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
