gen_bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
101,20000,4000,20000,-12000,1,100,1,10,0,0,0,0,0,0,0,0,0,0,0,0
101,20000,4000,20000,-12000,1,100,1,10,0,0,0,0,0,0,0,0,0,0,0,0
101,20000,4000,20000,-12000,1,100,1,10,0,0,0,0,0,0,0,0,0,0,0,0
201,80000,11000,60000,-60000,1,100,1,10,0,0,0,0,0,0,0,0,0,0,0,0
201,80000,11000,60000,-60000,1,100,1,10,0,0,0,0,0,0,0,0,0,0,0,0
201,80000,11000,60000,-60000,1,100,1,10,0,0,0,0,0,0,0,0,0,0,0,0
301,80000,11000,60000,-60000,1,100,1,10,0,0,0,0,0,0,0,0,0,0,0,0
301,80000,11000,60000,-60000,1,100,1,10,0,0,0,0,0,0,0,0,0,0,0,0
301,80000,11000,60000,-60000,1,100,1,10,0,0,0,0,0,0,0,0,0,0,0,0
401,80000,11000,60000,-60000,1,100,1,10,0,0,0,0,0,0,0,0,0,0,0,0
401,80000,11000,60000,-60000,1,100,1,10,0,0,0,0,0,0,0,0,0,0,0,0
